Date,User,Message
2026-01-07 16:37:32,"Shoaib","Summary of GUI issue
When the product is registered, the training images are saved in a dir and the dir name is saved in DB.

When product is renamed, the dir in DB stays the same. However the actual dir was being renamed. This was causing path mismatch.

Fix
Disable the rename logic.

That would fix the issue. "
2026-01-07 16:39:48,"Ammad (Korea)","it should be saved and renamed in db otherwise when front end is refressed, information will be lost."
2026-01-07 16:40:44,"Shoaib","I don't think that would be an issue. "
2026-01-07 16:41:59,"광협 KwangHyeop","I just called manager.
He will be there soon"
2026-01-07 16:42:43,"Shoaib","Let's disable the renaming dir logic for now. This would fix the issue. And let's think about other scenarios. "
2026-01-07 16:43:23,"Shoaib","@Ammad (Korea) 
Please confirm if the images are fixed in the GUI. "
2026-01-07 16:43:48,"Ammad (Korea)","Yes. resolved."
2026-01-07 16:45:18,"Shoaib","@Kor Hieu 
Is there any stopper for the conveyrs? 

Also, please confirm if the pallets slips on top of the conveyor when it stop?"
2026-01-07 16:46:03,"Ammad (Korea)","Video"
2026-01-07 16:50:10,"Shoaib","@광협 KwangHyeop 
What is the response from factory manager about this?
Can they fix this play in the conveyor?"
2026-01-07 16:51:44,"광협 KwangHyeop","You mean that slipping issue?"
2026-01-07 16:51:48,"Shoaib","Yes. "
2026-01-07 16:53:18,"Sammo | ثمرہ | 삼라","Removed the rename logic and pushed to main"
2026-01-07 16:54:21,"Shoaib","Okay. "
2026-01-07 16:55:15,"광협 KwangHyeop","I hust called him and he said it's about the speed of cylinder pushes the palettes.
He said reducing the speed of that cylinder is the only way.

If you guys think so, I will ask him to fix with that way."
2026-01-07 16:57:40,"Shoaib","Okay. I heard he reduced the speed earlier as well.

Can you ask him to adjust the speed and observe the pallets, so that they don't slip anymore?

Also, reducing the speed, would it affect our cycle time?"
2026-01-07 17:00:51,"광협 KwangHyeop","Yes it will, I think.

Even it is a little, it will take more time to receive the palette to right position, and our time to finish the sequences will reduce.

If you guys can make it work with this, I will ask the manager"
2026-01-07 17:03:18,"Shoaib","Let's ask them to reduce the speed, to the point that there is no random slipping.
This will ensure we don't have holding or vision issue.

Then, let's find a better way so that even with faster speed, we can avoid the slipping issue. "
2026-01-07 17:05:13,"광협 KwangHyeop","He reduced the speed just now, so please try again."
2026-01-07 17:05:49,"Shoaib","@Kor Hieu 
Please share your analysis and video. 
Let us know if you face the same issue and how frequently you face that issue."
2026-01-07 17:55:02,"Kor Hieu","Yes, I showed him the gap, then he already reduced the speed, it’s better now, the gap is smaller (by a half) but still not consistent."
2026-01-07 17:55:21,"Kor Hieu","Video"
2026-01-07 17:55:26,"Kor Hieu","Video"
2026-01-07 17:56:08,"Shoaib","Okay. Please make a summary analysis of the issues we face due to this and other factors.

We will try to find a different solution."
2026-01-07 17:56:20,"Kor Hieu","Okay"
2026-01-07 17:58:30,"Shoaib","Photo"
2026-01-07 17:59:00,"Shoaib","@Ammad (Korea) 
@Kor Tugii 
@Kor Hieu 

Please make a table like this. 

So we can quickly identify the frequent issues and plan accordingly. "
2026-01-07 17:59:15,"Ammad (Korea)","sure"
2026-01-07 19:21:49,"Kor Hieu","@Shoaib , I was checking the slipping issue while running production and test-printer, it happened frequently, every minute, which means once per 2 products.(The case is considered as slipping only when the gap between 2 pallets is more than 1cm)."
2026-01-07 19:23:53,"Shoaib","Okay.
Due to this slipping, can you list the issues you are facing. Please share the image as well if vision is failing."
2026-01-07 19:24:49,"Shoaib","Meanwhile, @광협 KwangHyeop 
Can you talk to factory manager, check it again? "
2026-01-07 19:25:25,"Shoaib","@Kor Hieu 
Once the conveyor has stopped
Can you check if the base is shaking/moving.

If the base is not stable, the product can also shake during the screw process. "
2026-01-07 19:25:43,"광협 KwangHyeop","You mean we need to reduce the speed even furthur?"
2026-01-07 19:26:29,"Shoaib","If the base is not stable, means, it can shake even after the conveyor has stopped, then reducing or increasing the speed will not help."
2026-01-07 19:45:14,"Kor Hieu","The pallets is separate from the base"
2026-01-07 19:45:23,"Kor Hieu","I can even lift it up"
2026-01-07 19:46:31,"Kor Hieu","Video"
2026-01-07 19:49:45,"Shoaib","So, there is no friction between the pallent and the conveyor."
2026-01-07 19:50:31,"Kor Hieu","If we reduce further, we will never meet the cycle time, even now, some printers have 5 holes, but only 30s (subtract to 4s of moving) there is only 26s, if robot misses 1 screw when picking up, we cannot finish that printer"
2026-01-07 19:51:00,"Shoaib","Ammad, Hieu, Tugi and Tan
Please summarise the issues and share, so we can decide the next step.
It would be helpful if you can send a table like this until 9PM.

Jalol, can you summarise the GUI/DB issues?"
2026-01-07 19:52:02,"Shoaib","Eventually, we will speed up the conveyor. We need to find a way to hold the base, or printer or find a locking mechanism for the base pallet."
2026-01-07 19:52:53,"Shoaib","@광협 KwangHyeop 
Can you share this with factory manager and ask them if they can find a way to fix the slipping/shaking of the base pallet.

If the pallet moves during robot screw process, it can cause damage as well. "
2026-01-07 19:53:13,"광협 KwangHyeop","Okay"
2026-01-07 19:53:48,"Shoaib","Thank you."
2026-01-07 20:02:30,"Odil","Following members are visiting Everint Chungju factory tomorrow: 
@Kor Tugii 
@Shams 
Departure time is 7 a.m. using Taxi from the Lab. 
Please make sure you won’t be late. "
2026-01-07 20:53:01,"Kor Hieu","File: Label-Printer_Screwrobot_report_Jan7th.xlsx"
2026-01-07 20:54:58,"Kor Hieu","@Shoaib , when running production, I didn't focus on checking slipping issue of the conveyor, only between 18:23 - 18:56 I paid my attention about that"
2026-01-07 21:06:40,"Odil","@Saidjalol is also visiting tomorrow. Since he can drive the company car, let's use carnival tomorrow. @Kor Tugii and @Shams please travel with Saidjalol on minivan carnival tomorrow. "
2026-01-07 21:14:07,"Sammo | ثمرہ | 삼라","@Saidjalol  

For the GUI click event logs, I created the following PR. Please test and merge it whenever you can

https://github.com/msislab/EverintProject/pull/87"
2026-01-07 21:23:35,"Saidjalol","Okey I will check it tomorrow "
,"","The message has been deleted."
2026-01-07 22:03:08,"Shoaib","@Saidjalol and @Tan 
Have you made a summary?

I recieved the summary of issues from Tugi and Hieu."
2026-01-07 22:04:57,"Saidjalol","Let me do it tomorrow 
I was busy with gst project new logic implementation today"
2026-01-07 22:05:06,"Tan","@Ammad (Korea)  can you do this for our pcb system"
2026-01-07 22:32:41,"Ammad (Korea)","@Shoaib Sorry. I didnt read you message. Its late. I will send details after discussion with Tan. "
2026-01-08 07:00:27,"Saidjalol","Where are you @Kor Tugii @Shams ?"
2026-01-08 11:37:04,"광협 KwangHyeop","@Tan @Ammad (Korea) They have some problem about producing E300 now.
Manager said, our vision is not catching the PCB.

Can you guys check now?"
2026-01-08 11:37:15,"Ammad (Korea)","yesd. already on it"
2026-01-08 11:37:29,"Tan","Run again please"
2026-01-08 11:39:50,"광협 KwangHyeop","Can you guys run to test remotely?"
2026-01-08 11:43:10,"Tan","please explain with him the issue, we enhance model OBB detect so now it fix 100% with PCB, but the validation size still kept the previous size so that i need to tunning a bit"
2026-01-08 11:50:52,"광협 KwangHyeop","I just explained it was an issue about AI model parameter.

He said, teach him how can they fix it, when we are not in there."
2026-01-08 11:51:44,"Tan","ok talk with him we can teach him on monday"
2026-01-08 11:51:57,"Tan","me and Ammad have plan to go there on monday to test all the change"
2026-01-08 11:52:14,"광협 KwangHyeop","Okay. Thank you"
2026-01-08 11:52:20,"Tan","your welcome"
2026-01-08 12:33:52,"Professor | 김형원","Photo"
2026-01-08 12:59:54,"Professor | 김형원","Saad, Shoaib, Ammad, the yellow column show all mobile printer models' cycle time."
2026-01-08 13:31:13,"Shoaib","Okay Sir. "
2026-01-08 13:58:34,"광협 KwangHyeop","Guys, if you have a time, please share me your progress for this week.
I have to compress and send Weekly Report to Everint by today."
2026-01-08 14:09:25,"Shoaib","@Saidjalol 
Have you tested it? "
2026-01-08 14:10:09,"Shoaib","@Tan @Ammad (Korea) 
Can you explain to me what was the issue they faced today?"
2026-01-08 14:10:29,"Shoaib","@Ammad (Korea)  @Tan 
Please share the summary of issues / updates."
2026-01-08 14:10:45,"Shoaib","@Saidjalol 
Please finalize and share the summary. "
2026-01-08 14:13:33,"Tan","i will explain with you after seminar Sir"
2026-01-08 14:13:44,"Tan","we will try to sent you after seminar today"
2026-01-08 14:15:55,"Shoaib","@Ammad (Korea) 
@Tan 
@Kor Tugii 
@Kor Hieu 
@Saidjalol 

Please use this file to list down the issues. 

https://msislabai-my.sharepoint.com/:x:/r/personal/saad_msislab_com/Documents/AI_Robot_Shared/Everint_ScrewDriver_Project/Issue%20Reports/Issue%20Report.xlsx?d=w4252491ca8124affafc3f7ce1c8a7f93&csf=1&web=1&e=LgS41v"
2026-01-08 14:23:37,"Tan","you guys can able to access this link? "
2026-01-08 14:35:21,"Shoaib","Robot, Vision, GUI
What are you working on today?
Can you please let me know your current tasks. 

Also, please share if there are any issue which are causing operational issue. 
Dr Odil mentioned about tomorrow's visit by some company. So I want to know in advance if there are any serious issues.

Since Tugi is not available, so Muazzam or I will visit tomorrow to help other members. "
2026-01-08 14:50:04,"Kor Hieu","I enhanced the pickup logic, fixed minor bug in robot motion in this morning (with Tugi’s help)

Now I am working with vision team to test new updates on real system."
2026-01-08 14:57:53,"Shoaib","Okay. Thank you."
2026-01-08 15:53:44,"Shoaib","Ammad, Tan, Tugi, Jalol, Samrah, Sawera
Kindly let me know your today's tasks regarding Everint. "
2026-01-08 15:53:56,"Shoaib","Also, vision team, please share your today's tasks. "
2026-01-08 15:56:29,"Ammad (Korea)","Okay"
2026-01-08 16:05:53,"Kor Hieu","Video"
2026-01-08 16:08:06,"Kor Hieu","They decreased the conveyor speed a lot, but the slipping issue is still there"
2026-01-08 16:08:53,"Kor Hieu","Now because of the slow speed, the moving motion is taking 7s"
2026-01-08 16:09:38,"Kor Hieu","I remember that I didn’t ask to decrease the speed furthe"
2026-01-08 16:13:48,"Shoaib","Okay Hieu. I'll think about it."
2026-01-08 16:17:44,"Professor | 김형원","I requested to slow it down more to verify. "
2026-01-08 16:18:02,"Professor | 김형원","You can request the speed you want. "
2026-01-08 16:18:39,"Kor Hieu","Okay professor"
2026-01-08 18:35:35,"광협 KwangHyeop","I'm sending this again as reminder.
Please share your progress for this week.
Even if it's small, it's okay."
2026-01-08 18:42:14,"Kor Sir Saad New","Everint team, please try to write one slide each of updates and share it with KwangHyeop."
,"","The message has been deleted."
,"","The message has been deleted."
2026-01-08 18:58:56,"Tan","Vision – Weekly Update
•	Pretrained new OBB model for PCB detection.
               Improved orientation stability, especially for large rotation cases.
               Prepared for scaling to ~20 PCB types.
•	Code cleanup and refactoring.
               Reorganized modules (model / inference / postprocess / debug / config).
               Standardized logging and removed redundant code.
•	Built a testbench for model validation before pushing.
               Enabled regression testing and performance comparison between models.
               Reduced deployment risk.
•	Aligned image rotation with real-world orientation.
               Avoids operator confusion during system operation and debugging.
•	Verified pipeline readiness for multi-PCB deployment.
              Easy to add new PCB types via configuration without code changes."
2026-01-08 18:59:21,"Tan","@광협 KwangHyeop please check update for PCB vision system first"
2026-01-08 18:59:22,"Tan","thank you"
2026-01-08 19:44:14,"Ammad (Korea)","This week process
1. Critical halting of state machine was identified and resolved (Reading user selection/assembly process stopping).
2. Robot motion stop function imediate stop was implement.
3. Configurable Korean text was added.
4. False fastening failures due to retry was resolved.
5. Screw Feeder feed-back wiring was completed for detecting no screw presence.
6. Screw-driver stuck detection was added and tested.
7. Robot speed was increased to 88-90% after observing stability."
,"","The message has been deleted."
,"","The message has been deleted."
,"","The message has been deleted."
2026-01-08 19:46:18,"Shoaib","Tomorrow, the following members will be visiting Everint.

Robot Team
- Shoaib
- Tugi (work on label printer code)
- Muazzam (help Hieu and Tugi with hardware)
 
Vision Team
- Dr Rizwan
- Phongphu
- Quy

We will leave at 7AM using lab van.
Please reach by 6:50AM."
2026-01-08 20:15:29,"Shoaib","Hello. I am awaiting replies for following message. Kindly reply."
2026-01-08 20:15:42,"Shoaib","1. @Saidjalol "
2026-01-08 20:18:00,"Shoaib","2."
2026-01-08 20:18:30,"Shoaib","3. Please update the current issues in this file. "
2026-01-08 20:51:51,"Saidjalol","I can not test today. I will try today or tomorrow.
We are returning from chungju."
2026-01-08 21:04:55,"Saidjalol","Implemented and Tested Today (Label Printer)
Start/Stop popup functionality and robot acknowledgment
Display of the selected product name when the user starts the assembly process
Count and reset button logic
Log file display on the GUI (implemented, not yet tested)
Remaining Issues (Label Printer)
Product name editing is not working properly
Dynamic modification of robot YAML files from the GUI
Robot A and Robot B control components during registration (similar to label printer)"
2026-01-08 23:06:21,"Shoaib","Thank you"
2026-01-08 23:07:02,"Shoaib","When you return, please leave the key and card. We need to travel by van tomorrow."
2026-01-08 23:08:34,"Shams","From the vision side, we updated and validated the code for label printer's hole and rubber detection. Multiple test runs were executed on different printers to evaluate performance. Both rubber detection and hole detection showed good results, confirming that the updates were successful and the vision side is working fine now."
2026-01-09 07:04:19,"Shoaib","Please come to E9 backside.
I and Tugi are in the van."
2026-01-09 09:35:33,"Ammad (Korea)","Photo"
2026-01-09 09:35:59,"Ammad (Korea)","@광협 KwangHyeop 
No change in januarary 9th product plan today.?"
2026-01-09 10:02:04,"광협 KwangHyeop","Whoever went Everint today, can someone go to the 3rd floor?
There's sone issue about PCB production."
2026-01-09 10:03:54,"광협 KwangHyeop","@Ammad (Korea) @Tan Please check it remotely"
2026-01-09 10:04:00,"Ammad (Korea)","Checking it. "
2026-01-09 10:04:14,"Ammad (Korea)","@Tan Bk3-31V"
2026-01-09 10:06:28,"Tan","Run again"
2026-01-09 10:06:33,"Tan","Same issue with yesterday"
2026-01-09 10:06:38,"Tan","Validation size issue"
2026-01-09 10:07:00,"Ammad (Korea)","Okay"
2026-01-09 10:07:14,"Tan","Working now"
2026-01-09 10:07:22,"Tan","I am in lab i will remotely control"
2026-01-09 10:08:18,"Ammad (Korea)","Okay. Orientation okay ?"
2026-01-09 10:08:22,"Tan","Ok"
2026-01-09 10:08:39,"Tan","No issue for now"
2026-01-09 10:09:43,"Ammad (Korea)","Thankyou."
2026-01-09 10:12:19,"Shoaib","Tan
Did you complete running the test bench for all the products?"
2026-01-09 10:12:54,"Tan","Not yet Sir i will try to collect all data"
2026-01-09 10:16:41,"Shoaib","They will have a break time soon.

As we discussed yesterday, download the product registration images for all the products.

You can run test bench on those images.

Download will not take a lot of time. Let me know if you need my help.

Can you finish running test bench by 12PM?"
2026-01-09 10:17:48,"Tan","Actually they have different product for different day i need to check and download all, it take time Sir"
2026-01-09 10:17:59,"Tan","I will try download as much as possible"
2026-01-09 10:19:21,"Shoaib","I need result for 1 product of each type.

For that, you don't need daily data.
You can use the inages saved in product registration directory.
Right?"
2026-01-09 10:20:00,"Ammad (Korea)","No. They are different. "
2026-01-09 10:20:09,"Tan","They are different sir"
2026-01-09 10:20:52,"Shoaib","Okay. How are they different?"
2026-01-09 10:20:52,"Ammad (Korea)","Tan i will provide date and time of each product. Let first run 1 step1 image and 1 step 2 image for each"
2026-01-09 10:22:28,"Ammad (Korea)","The registration is from robot B only. 
While assembly image have images from robot A and robot B."
2026-01-09 10:23:40,"Shoaib","The error that happened yesterday and today, it was from Robot A or B?"
2026-01-09 10:23:50,"Tan","A sir"
2026-01-09 10:24:43,"Shoaib","So, tell me if I understand correctly.

Registration images are taken on Robot B.

Validation is done on Robot A, using the dimension registered on Robot B ?"
,"","The message has been deleted."
2026-01-09 10:26:01,"Tan","We have 2 validation step
Robot A check size of pcb
Robot  B check angle and distance and number of hole/screw, filter in position"
2026-01-09 10:26:21,"Tan","Base on step we will different validation method"
2026-01-09 10:28:02,"Shoaib","Okay.
Can you explain the validation done on Line A?
What is the reference against which the validation is performed?"
2026-01-09 10:31:26,"Shoaib","I don't know the whole process so I need to understand it."
2026-01-09 10:31:49,"Tan","Initially, there was a minor issue in the width and height detection when passing input information to the model, which caused the OBB output to not fully cover the PCB. To keep the production running, I temporarily reduced the PCB size in the validation step so that the system could continue operating.

After fixing the algorithm and re-training the OBB model, the detected size is now correctly aligned with the actual PCB dimensions. Therefore, we need to update the PCB size in the validation step accordingly."
2026-01-09 10:32:11,"Tan","2 photos"
2026-01-09 10:38:16,"Shoaib","Do we know their schedule for next few days?"
2026-01-09 10:41:53,"Ammad (Korea)","We do know.
BK3-31V was not in schedule today. "
2026-01-09 10:42:11,"Ammad (Korea)","*"
2026-01-09 10:42:42,"광협 KwangHyeop","- PCB Production Plan for next week(1/12~1/16)

1/12(Mon)
A11 1,280EA

1/13(Tue)
A11 840EA
350+V 386EA
BK5-31 150EA

1/14(Wed)
BK3-31 967EA
BK5-31 234EA

1/15(Thu)
BK3-31 440EA
BK3-21 120EA

1/16(Fri)
(Only produce the PCB without Screws)"
2026-01-09 10:43:24,"광협 KwangHyeop","For A11 of 1/12 and 1/13, I will ask manager about the detailed model name"
2026-01-09 10:46:30,"Shoaib","Okay. Thank You."
2026-01-09 10:46:46,"Shoaib","@Tan 
Please run the scheduled products and verify with the test bench. "
2026-01-09 10:47:30,"Tan","for Bk5-31 this is new product, we do not have data of this one"
2026-01-09 10:48:25,"광협 KwangHyeop","I just asked manager for sharing the image and real product to our members"
2026-01-09 10:49:06,"Shoaib","@광협 KwangHyeop 
Can you focus on 1 thing

They provided direct power so our PC does not turn off.
However the internet turns off.

So we are still unable to access the system. 

Can they provide us a LAN connection, so that we can access the system when the other machines are powered off.
We will connect our wifi router to that direct LAN connection. 

Since I and Muazzam are here, we can set-up the network before leaving. "
2026-01-09 10:50:46,"Tan","sure Sir"
2026-01-09 10:52:25,"광협 KwangHyeop","- Label Printer Production Plan for next week(1/12~1/16)

1/12(Mon)
DX220 150EA

1/13(Tue)
DX220 966EA

1/14(Wed)
DX220 117EA

1/15(Thu)
(Only doing Moblie Printer validation)

1/16(Fri)
XD3-40d 276EA
XD5-40IId 500EA"
2026-01-09 10:52:50,"광협 KwangHyeop","I will ask the manager about that by today."
2026-01-09 10:54:44,"Shoaib","Okay. Thank you. "
2026-01-09 10:56:00,"광협 KwangHyeop","Currently, they are thinking about the method.
Also, they are considering about connecting with cable like you said."
2026-01-09 11:00:04,"Shoaib","Okay. Thank you.
Let's ask them again after lunch if we can finalize the network today."
2026-01-09 11:00:47,"Ammad (Korea)","the video recording team is there."
2026-01-09 11:03:20,"Shoaib","@Saidjalol 
Can you test it?"
2026-01-09 11:22:26,"Saidjalol","okey"
2026-01-09 11:25:44,"Shoaib","Jalol
Can you check the GUI for label printer?
We have some issue in registration of new products."
2026-01-09 11:28:47,"Saidjalol","Okey "
2026-01-09 14:17:52,"Phungphu","Where should I install the OAK D camera? @Odil "
2026-01-09 14:18:09,"Phungphu","Photo"
2026-01-09 14:18:19,"Phungphu","Overhere "
2026-01-09 14:49:16,"Shoaib","@광협 KwangHyeop 
Can you ask them?

If possible, we want to fix the network before leaving today."
2026-01-09 15:39:12,"Odil","we need to install it on the JRT/Jugang gripper "
2026-01-09 15:52:55,"Ammad (Korea)","@Kor Tugii @Kor Hieu 
For table design for mobile printer your kind suggesstion are requested since you have spend more experience on pallet conveyor.
Please, send issues you faced and improvement respect to table design or any information that can be helpful.
Thankyou.
Currently, we planned welded table with cross brace for vibrarion and six feets are added.(2 robots)
The table height is kept same as pallet conveyor 85cm. "
2026-01-09 17:22:59,"Shoaib","Photo"
2026-01-09 17:33:48,"Shoaib","@Saidjalol 
Can you add Myeongun here?"
2026-01-09 17:34:00,"Saidjalol","okey"
2026-01-09 17:40:26,"Saidjalol","Saidjalol invited 이명근."
2026-01-09 18:07:24,"Ammad (Korea)","@Tan
https://docs.google.com/spreadsheets/d/1GNHvZnzA5B8_mMTy-4lcYpcqMjsgPVM2020Ws4lVmwA/edit?gid=0#gid=0

From now own we will keep record if we update program and have not tested product with new version.
We will inform Everint in advance that following product are not ran in real system.
 "
2026-01-09 18:26:34,"Ammad (Korea)","@Tan 
Todays production (BK3-31- 1000-1530 Hrs).

PCB: 1090,                     Failures 7(0.6%),
Screw Picks: 2903,        Failed:   25(0.86%),
Screw Fastening 2873, Failed:   30
Note: The screw pick and fasten counter was not reset, it includes previous day info too."
2026-01-09 18:39:49,"Saidjalol","I have merged and tested it seems okey"
2026-01-09 18:53:45,"Tan","Sure"
2026-01-09 18:57:06,"Professor | 김형원","Everint team we will have Everint meeting tomorrow at 10am in the basement.  "
2026-01-09 18:57:35,"Professor | 김형원","All Everint team please attend it. "
2026-01-09 19:20:43,"Shoaib","Summary of Everint visit today

Implementation of Rescan Logic to identify the next screw position after finishing previous screw position.
- Completed for screw robot.
- Pending for Rubber Foot (Additional vision model required) (Target: Monday)
- Cycle Time increased by 7s.

Optimize Motion
- Screw Robot motion optimized. Reduction of 5s.

Internet Unavailability
- It will be fixed by factory manager on Monday.

Product Samples availability
- They will provide 3 samples of each product type for our testing/tuning.

GUI (Remaining Issue)
- Product name editing is not working properly
- Dynamic modification of robot YAML files from the GUI
- Robot A and Robot B control components during registration (similar to label printer)"
2026-01-09 19:21:37,"Shoaib","Photo"
2026-01-09 19:21:47,"Shoaib","@광협 KwangHyeop 
Are you available to visit on Monday?"
2026-01-09 19:22:36,"광협 KwangHyeop","No, I have to visit Woosu on next week"
2026-01-09 19:23:04,"Shoaib","All days?"
2026-01-09 19:23:43,"광협 KwangHyeop","Maybe. I'm sure that I have to stay there for several days"
2026-01-09 19:24:01,"Shoaib","Okay."
2026-01-09 19:34:34,"Kor Sir Saad New","@Saidjalol What do you see when you go to ""My Tasks"" on asana? Please share a picture"
2026-01-09 19:43:44,"Saidjalol","Photo"
2026-01-09 19:44:14,"Saidjalol","Photo"
2026-01-09 19:49:30,"Kor Sir Saad New","Photo"
2026-01-09 19:51:49,"Saidjalol","Photo"
2026-01-09 19:52:28,"Saidjalol","Photo"
2026-01-09 19:52:56,"Saidjalol","I dont understand what robot A/B ?"
2026-01-09 19:53:54,"Saidjalol","I can see only task title "
2026-01-09 20:00:06,"Shoaib","I added this.
You wrote it exactly like this on white board. So I copied it to Asana as it is."
2026-01-09 20:06:15,"Saidjalol","I got it. You mean which I wrote on white board after GUI meeting. I did most of them I will update result and mark as complete tomorrow.
"
2026-01-09 20:17:08,"Shoaib","Okay. Please add details when you mark complete. And screenshot if possible."
2026-01-09 20:33:45,"Saidjalol","Ok"
2026-01-09 20:48:35,"Korea Rizwan","Everint small printer and palette is placed here in the basement "
